cell_line,treatment,replicate,Assay,time,Ct,Norm2ref
A,Control,1,ITGA1,3.0,28.05344,0.0136288665686
A,Control,1,ITGA1,4.0,27.70413,0.0153461055042
A,Control,1,ITGA1,8.0,28.31001,0.0124218548098
A,Control,1,ITGA1,12.0,28.77104,0.00754792161696
A,Control,1,ITGA1,24.0,28.147,0.0104815736106
A,Control,1,ITGA1,48.0,27.51137,0.0153407678926
A,Control,1,ITGA1,72.0,28.21677,0.013734910875
A,Control,1,ITGA1,96.0,27.28287,0.0238594678263
A,Control,1,ITGA2,0.5,26.07312,0.0465546727409
A,Control,1,ITGA2,1.0,25.56996,0.0533182022783
A,Control,1,ITGA2,2.0,26.31516,0.0372064300114
A,Control,1,ITGA2,3.0,26.0578,0.0543509626005
A,Control,1,ITGA2,4.0,26.26755,0.0415385995839
A,Control,1,ITGA2,8.0,26.46494,0.0446280450574
A,Control,1,ITGA2,12.0,26.15951,0.0461292343277
A,Control,1,ITGA2,24.0,26.25543,0.0388907033504
A,Control,1,ITGA2,48.0,25.93556,0.0457312609675
A,Control,1,ITGA2,72.0,26.33305,0.0506853055686
A,Control,1,ITGA2,96.0,26.19707,0.0506429647157
A,Control,1,JUN,0.5,24.18763,0.172009456899
A,Control,1,JUN,1.0,24.04963,0.152946812778
A,Control,1,JUN,2.0,24.38501,0.141791777621
A,Control,1,JUN,3.0,24.8348,0.126872332682
A,Control,1,JUN,4.0,24.2368,0.169733870424
A,Control,1,JUN,8.0,24.38207,0.189066336892
A,Control,1,JUN,12.0,24.27442,0.170390305112
A,Control,1,JUN,24.0,24.02548,0.18244318125
A,Control,1,JUN,48.0,23.88827,0.189020486386
A,Control,1,JUN,72.0,24.26092,0.213135284981
A,Control,1,JUN,96.0,24.17798,0.205270138789
A,Control,1,JUNB,0.5,26.605,0.0321996717179
A,Control,1,JUNB,1.0,26.58945,0.0263013734413
A,Control,1,JUNB,2.0,26.67124,0.0290688091279
A,Control,1,JUNB,3.0,26.98366,0.0286085343156
A,Control,1,JUNB,4.0,26.68965,0.0310018128092
A,Control,1,JUNB,8.0,26.67778,0.0385067298933
A,Control,1,JUNB,12.0,27.28671,0.0211181191054
